date,TT,MM-01,MM-02,MM-03,MM-04,MM-05,MM-06,MM-07,MM-11,MM-12,MM-13,MM-14,MM-15,MM-16,MM-17,MM-18,
22/03/2020,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
23/03/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
24/03/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
25/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26/03/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27/03/2020,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
28/03/2020,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,
29/03/2020,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
30/03/2020,4,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,
31/03/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
01/04/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
02/04/2020,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
03/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
04/04/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
05/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06/04/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
07/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/04/2020,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
10/04/2020,5,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,
11/04/2020,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,
12/04/2020,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,
13/04/2020,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
14/04/2020,22,0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,
15/04/2020,11,1,0,0,0,0,9,0,0,0,0,0,0,0,1,0,
16/04/2020,11,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,
17/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18/04/2020,13,1,0,0,0,0,11,0,0,0,0,0,0,0,1,0,
19/04/2020,13,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,
20/04/2020,8,4,2,0,0,0,0,0,0,0,0,1,0,0,1,0,
21/04/2020,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
22/04/2020,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
23/04/2020,9,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,
24/04/2020,12,0,0,0,0,0,10,0,1,0,0,0,0,0,1,0,
25/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26/04/2020,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
27/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28/04/2020,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
29/04/2020,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
30/04/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01/05/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
02/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03/05/2020,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
04/05/2020,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,
05/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/05/2020,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,
08/05/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
09/05/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
10/05/2020,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
11/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13/05/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
14/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16/05/2020,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
17/05/2020,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
18/05/2020,4,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,
19/05/2020,5,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,
20/05/2020,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,
21/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23/05/2020,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
24/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25/05/2020,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
26/05/2020,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
27/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29/05/2020,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
30/05/2020,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,
31/05/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01/06/2020,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
02/06/2020,4,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,
03/06/2020,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
04/06/2020,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
05/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06/06/2020,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
07/06/2020,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,
08/06/2020,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,
09/06/2020,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,
10/06/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
11/06/2020,12,0,0,0,0,0,10,0,1,0,0,0,0,1,0,0,
12/06/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
13/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15/06/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
16/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18/06/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
19/06/2020,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,
20/06/2020,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
21/06/2020,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
22/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23/06/2020,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
24/06/2020,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
25/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28/06/2020,6,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,
29/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30/06/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01/07/2020,5,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,
02/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03/07/2020,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
04/07/2020,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,
05/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
06/07/2020,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,
07/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
08/07/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
09/07/2020,4,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,
10/07/2020,5,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,
11/07/2020,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,
12/07/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
13/07/2020,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,
14/07/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
15/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16/07/2020,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,
17/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18/07/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
19/07/2020,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
20/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22/07/2020,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
23/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24/07/2020,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,
25/07/2020,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,
26/07/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
27/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
28/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29/07/2020,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
30/07/2020,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,
31/07/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
01/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
02/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
03/08/2020,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
04/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
05/08/2020,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
06/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
07/08/2020,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,
08/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
09/08/2020,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
10/08/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
